species,genus,binom,family,order,class
monspessulana,Genista,Genista monspessulana,Fabaceae,Fabales,NA
crustuliniforme,Hebeloma,Hebeloma crustuliniforme,Hebeloma crustuliniforme,Hymenogastraceae,Agaricomycetes
laccata,Laccaria,Laccaria laccata,Laccaria laccata,Hydnangiaceae,Agaricomycetes
anomalus,Cortinarius,Cortinarius anomalus,Cortinarius,Cortinariaceae,Agaricomycetes
marmoratus,Archytas,Archytas marmoratus,Tachinidae,Diptera,Insecta
virginianus,Colinus,Colinus virginianus,Odontophoridae,Galliformes,Aves
zea,Helicoverpa,Helicoverpa zea,Noctuidae,Lepidoptera,Insecta
includens,Pseudoplusia,Pseudoplusia includens,NA,NA,NA
gossypii,Aphis,Aphis gossypii,Aphididae,Hemiptera,Insecta
insidiosus,Orius,Orius insidiosus,Anthocoridae,Hemiptera,Insecta
artemisiifolia,Ambrosia,Ambrosia artemisiifolia,Asteraceae,Asterales,Magnoliopsida
capillifolium,Eupatorium,Eupatorium capillifolium,Asteraceae,Asterales,Magnoliopsida
bryani,Eucelatoria,Eucelatoria bryani,Tachinidae,Diptera,Insecta
archippivora,Lespesia,Lespesia archippivora,Tachinidae,Diptera,Insecta
axyridis,Harmonia,Harmonia axyridis,Coccinellidae,Coleoptera,Insecta
pretiosum,Trichogramma,Trichogramma pretiosum,Trichogrammatidae,Hymenoptera,Insecta
yuccifolium,Eryngium,Eryngium yuccifolium,Apiaceae,Apiales,Magnoliopsida
arguta,Potentilla,Potentilla arguta,Rosaceae,Rosales,Magnoliopsida
rigida,Solidago,Solidago rigida,Asteraceae,Asterales,Magnoliopsida
pilosus,Aster,Aster pilosus,NA,NA,NA
flexuosa,Mauritia,Mauritia flexuosa,Arecaceae,Arecales,Liliopsida
ararauna,Ara,Ara ararauna,Psittacidae,Psittaciformes,Aves
precatoria,Euterpes,Euterpes precatoria,NA,NA,NA
crepitans,Hura,Hura crepitans,Euphorbiaceae,Malpighiales,Magnoliopsida
manilata,Orthopsittaca,Orthopsittaca manilata,NA,NA,NA
thyoides,Chamaecyparis,Chamaecyparis thyoides,Pinidae,Chamaecyparis,Cupressaceae
exigua,Salix,Salix exigua,Salicaceae,Malpighiales,Magnoliopsida
glandulosa,Prosopis,Prosopis glandulosa,Fabaceae,Fabales,NA
officinale,Cynoglossum,Cynoglossum officinale,Boraginoideae,Boraginales,Magnoliopsida
occidentalis,Larix,Larix occidentalis,Pinaceae,Pinales,Pinopsida
tectorum,Bromus,Bromus tectorum,Poaceae,Poales,NA
thapsus,Verbascum,Verbascum thapsus,Scrophulariaceae,Lamiales,Magnoliopsida
papyrifera,Boswellia,Boswellia papyrifera,NA,NA,NA
NA,Boswell,Boswell ,NA,NA,NA
granatensis,Lepus,Lepus granatensis,Leporidae,Lagomorpha,Mammalia
arvalis,Microtus,Microtus arvalis,Cricetidae,Rodentia,Mammalia
coli,Escherichia,Escherichia coli,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria
milvus,Milvus,Milvus milvus,Milvus,Accipitriformes,Aves
madritensis,Bromus,Bromus madritensis,Poaceae,Poales,NA
microstachys,Vulpia,Vulpia microstachys,Poaceae,Poales,Liliopsida
triuncialis,Aegilops,Aegilops triuncialis,Poaceae,Poales,Liliopsida
laevipes,Bromus,Bromus laevipes,Poaceae,Poales,NA
officinalis,Rosmarinus,Rosmarinus officinalis,Lamiaceae,Lamiales,Magnoliopsida
coccifera,Quercus,Quercus coccifera,Fagaceae,Fagales,NA
rufa,Alectoris,Alectoris rufa,Phasianidae,Galliformes,Aves
coturnix,Coturnix,Coturnix coturnix,Phasianidae,Galliformes,Aves
turtur,Streptopelia,Streptopelia turtur,Columbidae,Columbiformes,Aves
viscivorus,Turdus,Turdus viscivorus,Turdidae,Passeriformes,Aves
theklae,Galerida,Galerida theklae,NA,NA,NA
apiaster,Merops,Merops apiaster,Meropidae,Coraciiformes,Aves
cooki,Cyanopica,Cyanopica cooki,NA,NA,NA
unicolor,Sturnus,Sturnus unicolor,NA,NA,NA
melanocephala,Sylvia,Sylvia melanocephala,Sylviidae,Passeriformes,Aves
caudatus,Aegithalos,Aegithalos caudatus,Aegithalidae,Passeriformes,Aves
ignicapilla,Regulus,Regulus ignicapilla,Regulidae,Passeriformes,Aves
NA,Birds,Birds ,NA,NA,NA
Complete,The,The Complete,NA,NA,NA
cinerea,Nemoura,Nemoura cinerea,Nemouridae,Plecoptera,Insecta
aenea,Elmis,Elmis aenea,Elmidae,Coleoptera,Insecta
marginata,Leptophlebia,Leptophlebia marginata,Leptophlebiidae,Ephemeroptera,Insecta
meyeri,Protonemura,Protonemura meyeri,Nemouridae,Plecoptera,Insecta
cingulatus,Potamophylax,Potamophylax cingulatus,Limnephilidae,Trichoptera,Insecta
aquaticus,Asellus,Asellus aquaticus,Asellidae,Isopoda,Malacostraca
flavomaculatus,Polycentropus,Polycentropus flavomaculatus,Polycentropodidae,Trichoptera,Insecta
oviana,Festuca,Festuca oviana,NA,NA,NA
acaule,Cirsium,Cirsium acaule,Asteraceae,Asterales,Magnoliopsida
lutea,Gentiana,Gentiana lutea,Gentianaceae,Gentianales,Magnoliopsida
timidus,Lepus,Lepus timidus,Leporidae,Lagomorpha,Mammalia
mimosa,Carmenta,Carmenta mimosa,Sesiidae,Lepidoptera,Insecta
pigra,Mimosa,Mimosa pigra,Fabaceae,Fabales,Insecta
gunniella,Neurostrota,Neurostrota gunniella,Gracillariidae,Lepidoptera,Insecta
puniceus,Acanthoscelides,Acanthoscelides puniceus,NA,NA,NA
pigrae,Coelocephalapion,Coelocephalapion pigrae,NA,NA,NA
mimosais,Carmenta,Carmenta mimosais,NA,NA,NA
spontaneum,Saccharum,Saccharum spontaneum,Poaceae,Poales,NA
superba,Gustavia,Gustavia superba,Lecythidaceae,Ericales,Magnoliopsida
marginatum,Piper,Piper marginatum,Piperaceae,Piperales,Magnoliopsida
vitifolium,Cochlospermum,Cochlospermum vitifolium,Bixaceae,Malvales,Magnoliopsida
alliodora,Cordia,Cordia alliodora,Cordia,Boraginales,Magnoliopsida
rehmii,Wilcoxina,Wilcoxina rehmii,Pyronemataceae,Pezizales,Pezizomycetes
salebrosus,Rhizopogon,Rhizopogon salebrosus,Boletales,Rhizopogonaceae,Agaricomycetes
marginata,Prokelisia,Prokelisia marginata,Delphacidae,Hemiptera,Insecta
japonica,Fallopia,Fallopia japonica,Polygonaceae,Caryophyllales,Magnoliopsida
vulgaris,Linaria,Linaria vulgaris,Linaria,Lamiales,Magnoliopsida
radicata,Hypochaeris,Hypochaeris radicata,Asteraceae,Asterales,Magnoliopsida
jacobea,Senecio,Senecio jacobea,NA,NA,NA
cracca,Vicia,Vicia cracca,Fabaceae,Fabales,Magnoliopsida
perforatum,Hypericum,Hypericum perforatum,Hypericaceae,Malpighiales,Magnoliopsida
officinalis,Veronica,Veronica officinalis,Veronica,Lamiales,Magnoliopsida
repens,Ranunculus,Ranunculus repens,Ranunculaceae,Ranunculales,NA
stricta,Euphrasia,Euphrasia stricta,Orobanchaceae,Lamiales,Magnoliopsida
vivipara,Bistorta,Bistorta vivipara,Polygonaceae,Caryophyllales,Magnoliopsida
lunaria,Botrychium,Botrychium lunaria,Botrychium,Ophioglossaceae,Psilotopsida
filiformis,Juncus,Juncus filiformis,Juncaceae,Poales,Magnoliopsida
norvegica,Omalotheca,Omalotheca norvegica,Asteraceae,Asterales,Magnoliopsida
crantzii,Potentilla,Potentilla crantzii,Rosaceae,Rosales,Magnoliopsida
serpyllifolia,Veronica,Veronica serpyllifolia,Veronica,Lamiales,Magnoliopsida
spicata,Danthonia,Danthonia spicata,Poaceae,Poales,Liliopsida
maculosa,Centauria,Centauria maculosa,NA,NA,NA
caespitosum,Hieracium,Hieracium caespitosum,Asteraceae,Asterales,Magnoliopsida
glareolus,Clethrionomys,Clethrionomys glareolus,NA,NA,NA
NA,Sor,Sor ,NA,NA,NA
purpurea,Digitalis,Digitalis purpurea,Digitalis,Lamiales,Magnoliopsida
gracilis,Cladonia,Cladonia gracilis,Cladoniaceae,Lecanorales,Lecanoromycetes
vivipara,Festuca,Festuca vivipara,Poaceae,Poales,Liliopsida
flexifolium,Leptodontium,Leptodontium flexifolium,Pottiaceae,Pottiales,Bryopsida
spicant,Blechnum,Blechnum spicant,Blechnum,Blechnaceae,Polypodiidae
maculata,Dactylorhiza,Dactylorhiza maculata,Orchidaceae,Asparagales,Liliopsida
juniperinum,Polytrichum,Polytrichum juniperinum,Polytrichaceae,Polytrichales,Polytrichopsida
saligna,Eucalyptus,Eucalyptus saligna,Myrtaceae,Myrtales,NA
bicolor,Wallabia,Wallabia bicolor,Macropodidae,Diprotodontia,Mammalia
grandis,Eucalyptus,Eucalyptus grandis,Myrtaceae,Myrtales,NA
glauca,Casuarina,Casuarina glauca,Casuarinaceae,Fagales,Magnoliopsida
cylindrica,Imperata,Imperata cylindrica,Poaceae,Poales,Liliopsida
camara,Lantana,Lantana camara,Verbenaceae,Lamiales,Magnoliopsida
littoralis,Allocasuarina,Allocasuarina littoralis,Casuarinaceae,Fagales,Magnoliopsida
integrifolia,Banksia,Banksia integrifolia,Proteaceae,Proteales,Magnoliopsida
stradbrokensis,Persoonia,Persoonia stradbrokensis,NA,NA,NA
bicolour,Wallabia,Wallabia bicolour,NA,NA,NA
longifolia,Acacia,Acacia longifolia,Mimosaceae,Fabales,NA
smithii,Acmena,Acmena smithii,Myrtaceae,Myrtales,Magnoliopsida
pseudoplatanus,Acer,Acer pseudoplatanus,Sapindaceae,Sapindales,Magnoliopsida
americana,Parula,Parula americana,NA,NA,NA
virens,Icteria,Icteria virens,Icteriidae,Passeriformes,Aves
erythrophthalmus,Pipilo,Pipilo erythrophthalmus,Passerellidae,Passeriformes,Aves
swainsoni,Limnothlypis,Limnothlypis swainsoni,Parulidae,Passeriformes,Aves
citrina,Wilsonia,Wilsonia citrina,NA,NA,NA
olivaceus,Vireo,Vireo olivaceus,Vireonidae,Passeriformes,Aves
swainsonii,Limnothlypis,Limnothlypis swainsonii,Parulidae,Passeriformes,Aves
griseus,Vireo,Vireo griseus,Vireonidae,Passeriformes,Aves
spurius,Icterus,Icterus spurius,Icteridae,Passeriformes,Aves
ciris,Passerina,Passerina ciris,Cardinalidae,Passeriformes,Aves
macroura,Zenaida,Zenaida macroura,Columbidae,Columbiformes,Aves
carolinus,Melanerpes,Melanerpes carolinus,Picidae,Piciformes,Aves
americanus,Coccyzus,Coccyzus americanus,Cuculidae,Cuculiformes,Aves
villosus,Picoides,Picoides villosus,NA,NA,NA
colubris,Archilochus,Archilochus colubris,Crambidae,Lepidoptera,Insecta
mustelina,Hylocichla,Hylocichla mustelina,Turdidae,Passeriformes,Aves
flavifrons,Vireo,Vireo flavifrons,Vireonidae,Passeriformes,Aves
NA,Brassi,Brassi ,NA,NA,NA
phylicifolia,Salix,Salix phylicifolia,Salicaceae,Malpighiales,Magnoliopsida
nana,Betula,Betula nana,Betuloideae,Fagales,Magnoliopsida
alces,Alces,Alces alces,Cervidae,Artiodactyla,Mammalia
arcticornis,Eupontania,Eupontania arcticornis,NA,NA,NA
mucronata,Euura,Euura mucronata,Tenthredinidae,Hymenoptera,Insecta
lemmus,Lemmus,Lemmus lemmus,Cricetidae,Rodentia,Mammalia
porosus,Crocodylus,Crocodylus porosus,Crocodylus,Crocodylia,Reptilia
macrophyllum,Erodium,Erodium macrophyllum,NA,NA,NA
fatua,Avena,Avena fatua,Poaceae,Poales,Liliopsida
myuros,Vulpia,Vulpia myuros,Poaceae,Poales,Liliopsida
botrys,Erodium,Erodium botrys,Geraniaceae,Geraniales,Magnoliopsida
osteosperma,Juniperus,Juniperus osteosperma,Cupressaceae,Pinales,Pinopsida
hystericina,Carex,Carex hystericina,Cyperaceae,Poales,Liliopsida
salar,Salmo,Salmo salar,Salmonidae,Salmoniformes,Actinopterygii
castellana,Agrostis,Agrostis castellana,Poaceae,Poales,Liliopsida
barbatula,Barbatula,Barbatula barbatula,Nemacheilidae,Cypriniformes,Actinopterygii
hyperici,Aculus,Aculus hyperici,NA,NA,NA
gramineum,Hypericum,Hypericum gramineum,NA,NA,NA
radiata,Pinus,Pinus radiata,Pinaceae,Pinales,Pinopsida
miniata,Eucalyptus,Eucalyptus miniata,Myrtaceae,Myrtales,NA
oncinocarpa,Acacia,Acacia oncinocarpa,Mimosaceae,Fabales,NA
tetrodonta,Eucalyptus,Eucalyptus tetrodonta,Myrtaceae,Myrtales,NA
carolinensis,Anas,Anas carolinensis,Anatidae,Anseriformes,Aves
cyanoptera,Anas,Anas cyanoptera,NA,NA,NA
serpyllifolia,Polygala,Polygala serpyllifolia,Polygalaceae,Fabales,Magnoliopsida
caerula,Mollinia,Mollinia caerula,NA,NA,NA
estuca,Agrostis,Agrostis estuca,NA,NA,NA
arenaria,Ammophila,Ammophila arenaria,Poaceae,Poales,Liliopsida
aucuparia,Sorbus,Sorbus aucuparia,Rosaceae,Rosales,Magnoliopsida
briese,Trichosirocalus,Trichosirocalus briese,Curculionidae,Coleoptera,Insecta
acanthium,Onopordum,Onopordum acanthium,Asteraceae,Asterales,Magnoliopsida
pacifica,Malva,Malva pacifica,Malvaceae,Malvales,NA
barclayana,Atriplex,Atriplex barclayana,NA,NA,NA
moquinii,Suaeda,Suaeda moquinii,NA,NA,NA
dicoccoides,Triticum,Triticum dicoccoides,Poaceae,Poales,Liliopsida
vulgare,Limonium,Limonium vulgare,Plumbaginaceae,Caryophyllales,Magnoliopsida
angustifolia,Phillyrea,Phillyrea angustifolia,Oleaceae,Lamiales,Magnoliopsida
angustifolia,Typha,Typha angustifolia,Typhaceae,Poales,Liliopsida
actylis,Brachypodium,Brachypodium actylis,NA,NA,NA
paspaloides,Paspalum,Paspalum paspaloides,Poaceae,Poales,Liliopsida
portulacoides,Halimione,Halimione portulacoides,Amaranthaceae,Caryophyllales,Magnoliopsida
plantago,Alisma,Alisma plantago,Alismataceae,Alismatales,Liliopsida
palustris,Eleocharis,Eleocharis palustris,Cyperaceae,Poales,Liliopsida
grandis,Glyceria,Glyceria grandis,Poaceae,Poales,Liliopsida
purpureum,Eupatorium,Eupatorium purpureum,Asteraceae,Asterales,Magnoliopsida
incarnate,Asclepias,Asclepias incarnate,NA,NA,NA
suave,Sium,Sium suave,Apiaceae,Apiales,Magnoliopsida
americana,Martes,Martes americana,Mustelidae,Carnivora,Mammalia
cinerea,Neotoma,Neotoma cinerea,Cricetidae,Rodentia,Mammalia
americanus,Lepus,Lepus americanus,Leporidae,Lagomorpha,Mammalia
hudsonicus,Tamiasciurus,Tamiasciurus hudsonicus,Sciuridae,Rodentia,Mammalia
pratensis,Salvia,Salvia pratensis,Lamiaceae,Lamiales,NA
venetum,Medicagini,Medicagini venetum,NA,NA,NA
davalliana,Carex,Carex davalliana,Cyperaceae,Poales,Liliopsida
scouleriana,Salix,Salix scouleriana,Salicaceae,Malpighiales,Magnoliopsida
flavescens,Trisetum,Trisetum flavescens,Poaceae,Poales,Liliopsida
limosa,Limosa,Limosa limosa,Scolopacidae,Charadriiformes,Aves
crusgalli,Echinochloa,Echinochloa crusgalli,Poaceae,Poales,Liliopsida
lapathifolium,Polygonum,Polygonum lapathifolium,Polygonaceae,Polygonales,Magnoliopsida
lacustris,Carex,Carex lacustris,Cyperaceae,Poales,Liliopsida
area,Study,Study area,NA,NA,NA
arenaria,Carex,Carex arenaria,Cyperaceae,Poales,Liliopsida
bulbosum,Hordeum,Hordeum bulbosum,Poaceae,Poales,NA
spontaneum,Hordeum,Hordeum spontaneum,Poaceae,Poales,NA
sterilis,Avena,Avena sterilis,Poaceae,Poales,Liliopsida
bituminosa,Bituminaria,Bituminaria bituminosa,Fabaceae,Fabales,Magnoliopsida
maculatus,Scolymus,Scolymus maculatus,Asteraceae,Asterales,Magnoliopsida
adenocaulos,Echinops,Echinops adenocaulos,NA,NA,NA
zealandicus,Chironomus,Chironomus zealandicus,Chironomidae,Diptera,Insecta
use,The,The use,NA,NA,NA
wetlands,Managing,Managing wetlands,NA,NA,NA
jutlandicum,Hypnum,Hypnum jutlandicum,Hypnaceae,Hypnales,Bryopsida
squarrosus,Rhytidiadelphus,Rhytidiadelphus squarrosus,Hylocomiaceae,Hypnales,Bryopsida
vaginatum,Eriophorum,Eriophorum vaginatum,Cyperaceae,Poales,NA
naevosa,Stictonetta,Stictonetta naevosa,NA,NA,NA
miles,Vanellus,Vanellus miles,Charadriidae,Charadriiformes,Aves
melanops,Charadrius,Charadrius melanops,NA,NA,NA
novaehollandiae,Tachybaptus,Tachybaptus novaehollandiae,Podicipedidae,Podicipediformes,Aves
novaehollandiae,Recurvirostra,Recurvirostra novaehollandiae,Recurvirostridae,Charadriiformes,Aves
poliocephalus,Poliocephalus,Poliocephalus poliocephalus,Podicipedidae,Podicipediformes,Aves
brevifolium,Schizachyrium,Schizachyrium brevifolium,Poaceae,Poales,Liliopsida
tshawytscha,Onchorhnychus,Onchorhnychus tshawytscha,NA,NA,NA
cuspidatum,Polygonum,Polygonum cuspidatum,Polygonaceae,Polygonales,Magnoliopsida
elongatum,Agropyron,Agropyron elongatum,NA,NA,NA
junceiforme,Agropyron,Agropyron junceiforme,NA,NA,NA
sylvestris,Anthriscus,Anthriscus sylvestris,Apiaceae,Apiales,Magnoliopsida
maritima,Martricaria,Martricaria maritima,NA,NA,NA
lymus,Elytrigia,Elytrigia lymus,NA,NA,NA
pilobium,Chamerion,Chamerion pilobium,NA,NA,NA
fallax,Sphagnum,Sphagnum fallax,Sphagnaceae,Sphagnales,Sphagnopsida
lusitanicus,Arion,Arion lusitanicus,Arionidae,Stylommatophora,Gastropoda
reticulatum,Deroceras,Deroceras reticulatum,Agriolimacidae,Stylommatophora,Gastropoda
lopecuretum,Ranunculo,Ranunculo lopecuretum,NA,NA,NA
elatioris,Arrhenatheretum,Arrhenatheretum elatioris,NA,NA,NA
gigantea,Agrostis,Agrostis gigantea,Poaceae,Poales,Liliopsida
kali,Salsola,Salsola kali,Amaranthaceae,Caryophyllales,Magnoliopsida
canadensis,Grus,Grus canadensis,NA,NA,NA
herodias,Ardea,Ardea herodias,Ardeidae,Pelecaniformes,Aves
vociferous,Charadrius,Charadrius vociferous,NA,NA,NA
scolopaceaus,Limnodromus,Limnodromus scolopaceaus,NA,NA,NA
ursinus,Papio,Papio ursinus,Cercopithecidae,Primates,Mammalia
tomentosum,Trifolium,Trifolium tomentosum,Fabaceae,Fabales,Magnoliopsida
rumicis,Uromyces,Uromyces rumicis,Pucciniaceae,Pucciniales,Pucciniomycetes
viridula,Gastrophysa,Gastrophysa viridula,Chrysomelidae,Coleoptera,Insecta
obtusifolius,Rumex,Rumex obtusifolius,Polygonaceae,Caryophyllales,NA
crispus,Rumex,Rumex crispus,Polygonaceae,Caryophyllales,NA
maritime,Crambe,Crambe maritime,NA,NA,NA
maritimum,Eryngium,Eryngium maritimum,Apiaceae,Apiales,Magnoliopsida
flavum,Glaucium,Glaucium flavum,Papaveraceae,Ranunculales,Magnoliopsida
peploides,Honckenya,Honckenya peploides,Caryophyllaceae,Caryophyllales,Magnoliopsida
japonicus,Lathyrus,Lathyrus japonicus,Fabaceae,Fabales,Magnoliopsida
maritima,Crambe,Crambe maritima,Brassicaceae,Brassicales,Magnoliopsida
melanocephalus,Calathus,Calathus melanocephalus,Carabidae,Coleoptera,Insecta
signatus,Tachinus,Tachinus signatus,Staphylinidae,Coleoptera,Insecta
madidus,Pterostichus,Pterostichus madidus,Carabidae,Coleoptera,NA
problematicus,Carabus,Carabus problematicus,Carabidae,Coleoptera,Insecta
violaceus,Carabus,Carabus violaceus,Carabidae,Coleoptera,Insecta
angustus,Othius,Othius angustus,Staphylinidae,Coleoptera,Insecta
strenuous,Pterostichus,Pterostichus strenuous,Carabidae,Coleoptera,NA
linearis,Xantholinus,Xantholinus linearis,Staphylinidae,Coleoptera,Insecta
piceum,Olophrum,Olophrum piceum,Staphylinidae,Coleoptera,Insecta
corticinus,Tachinus,Tachinus corticinus,Staphylinidae,Coleoptera,Insecta
flexilis,Pinus,Pinus flexilis,Pinaceae,Pinales,Pinopsida
petraea,Quercus,Quercus petraea,Fagaceae,Fagales,NA
caribaea,Pinus,Pinus caribaea,Pinaceae,Pinales,Pinopsida
arenarius,Leymus,Leymus arenarius,Poaceae,Poales,Liliopsida
guanicoe,Lama,Lama guanicoe,Camelidae,Artiodactyla,Mammalia
ivorensis,Terminalia,Terminalia ivorensis,Combretaceae,Myrtales,Magnoliopsida
maritima,Suaeda,Suaeda maritima,Chenopodiaceae,Caryophyllales,Magnoliopsida
pycnanthus,Elymus,Elymus pycnanthus,NA,NA,NA
pungens,Agropyron,Agropyron pungens,NA,NA,NA
richardsonii,Stipa,Stipa richardsonii,NA,NA,NA
spicatum,Agropyron,Agropyron spicatum,NA,NA,NA
idahoensis,Festuca,Festuca idahoensis,Poaceae,Poales,Liliopsida
roxburghii,Pinus,Pinus roxburghii,Pinaceae,Pinales,Pinopsida
leucotrichophora,Quercus,Quercus leucotrichophora,Fagaceae,Fagales,NA
floribunda,Quercus,Quercus floribunda,Fagaceae,Fagales,NA
nepalensis,Alnus,Alnus nepalensis,Betuloideae,Fagales,Magnoliopsida
ciliata,Populus,Populus ciliata,Saliaceae,Malphigiales,Magnoliopsida
crenulata,Crataegus,Crataegus crenulata,NA,NA,NA
tilaefolium,Desmodium,Desmodium tilaefolium,Fabaceae,Fabales,Magnoliopsida
biternata,Bidens,Bidens biternata,Asteraceae,Asterales,Magnoliopsida
oeconomus,Microtus,Microtus oeconomus,Cricetidae,Rodentia,Mammalia
demersum,Ceratophyllum,Ceratophyllum demersum,Ceratophyllaceae,Ceratophyllales,Magnoliopsida
integer,Neomysis,Neomysis integer,Neomysis,Mysida,Malacostraca
thermophilum,Thermosphaeroma,Thermosphaeroma thermophilum,NA,NA,NA
minor,Rhianthus,Rhianthus minor,Orobanchaceae,Lamiales ,Magnoliopsida 
discolor,Myosotis,Myosotis discolor,Boraginoideae,Boraginales,Magnoliopsida
campestris,Luzula,Luzula campestris,Juncaceae,Poales,Liliopsida
flava,Motacilla,Motacilla flava,Motacillidae,Passeriformes,Aves
lanceloata,Plantago,Plantago lanceloata,Plantaginaceae,Lamiales,NA
frugilegus,Corvus,Corvus frugilegus,Corvidae,Passeriformes,Aves
canina,Agrostis,Agrostis canina,Poaceae,Poales,Liliopsida
polyphemus,Gopherus,Gopherus polyphemus,Testudinidae,Testudines,Reptilia
gallopovo,Meleagris,Meleagris gallopovo,NA,NA,NA
verum,Galium,Galium verum,Rubiaceae,Gentianales,Magnoliopsida
caerulea,Molinia,x,Amaranthaceae,Caryophyllales,Magnoliopsida
mollis,Holcus,Holcus mollis,Poaceae,Poales,NA
arvensis,Knautia,Knautia arvensis,Caprifoliaceae,Dipsacales,Magnoliopsida
cardamines,Anthocharis,Anthocharis cardamines,Pieridae,Lepidoptera,Insecta
phlaeas,Lycaena,Lycaena phlaeas,Lycaenidae,Lepidoptera,Insecta
icarus,Polyommatus,Polyommatus icarus,Lycaenidae,Lepidoptera,Insecta
jurtina,Maniola,Maniola jurtina,Nymphalidae,Lepidoptera,Insecta
jurtina,Pyronia,Pyronia jurtina,NA,NA,NA
NA,Rum,Rum ,NA,NA,NA
NA,Pier,Pier ,NA,NA,NA
media,Plantago,Plantago media,Plantaginaceae,Lamiales,NA
glauca,Nicotiana,Nicotiana glauca,Solanaceae,Solanales,NA
gerrardii,Acacia,Acacia gerrardii,Mimosaceae,Fabales,NA
gayana,Chloris,Chloris gayana,Poaceae,Poales,Liliopsida
geminatum,Dactyloctenium,Dactyloctenium geminatum,NA,NA,NA
mopane,Colophospermum,Colophospermum mopane,Fabaceae,Fabales,Magnoliopsida
sesban,Sesbania,Sesbania sesban,Fabaceae,Fabales,Magnoliopsida
singueana,Senna,Senna singueana,Fabaceae,Fabales,NA
catharticus,Bromus,Bromus catharticus,Poaceae,Poales,NA
acuta,Sida,Sida acuta,Malvaceae,Malvales,Magnoliopsida
pantherina,Calligrapha,Calligrapha pantherina,Chrysomelidae,Coleoptera,Insecta
americanus,Ursus,Ursus americanus,Ursidae,Carnivora,Mammalia
annosum,Heterobasidion,Heterobasidion annosum,Russulales,Bondarzeviaceae,Agaricomycetes
minor,Ulex,Ulex minor,Fabaceae,Fabales,Magnoliopsida
curtisii,Agrostis,Agrostis curtisii,Poaceae,Poales,Liliopsida
multiflora,Luzula,Luzula multiflora,Juncaceae,Poales,Liliopsida
schreberi,Pleurozium,Pleurozium schreberi,Hylocomiaceae,Hypnales,Bryopsida
cupressiforme,Hypnum,Hypnum cupressiforme,Hypnaceae,Hypnales,Bryopsida
increase,Calluna,Calluna increase,NA,NA,NA
splendens,Hylocomium,Hylocomium splendens,Hylocomiaceae,Hypnales,Bryopsida
auriculiformis,Acacia,Acacia auriculiformis,Mimosaceae,Fabales,NA
cunninghamiana,Casuarina,Casuarina cunninghamiana,Casuarinaceae,Fagales,Magnoliopsida
camaldulensis,Eucalyptus,Eucalyptus camaldulensis,Myrtaceae,Myrtales,NA
aulacocarpa,Acacia,Acacia aulacocarpa,Mimosaceae,Fabales,NA
ovata,Eschweilera,Eschweilera ovata,NA,NA,NA
affinis,Inga,Inga affinis,NA,NA,NA
psilophylla,Arapatiella,Arapatiella psilophylla,Fabaceae,Fabales,Magnoliopsida
hypoleuca,Licania,Licania hypoleuca,Chrysobalanaceae,Malphigiales,Magnoliopsida
pedicellare,Pithecellobium,Pithecellobium pedicellare,NA,NA,NA
foliolosa,Plathymenia,Plathymenia foliolosa,NA,NA,NA
luscens,Copaifera,Copaifera luscens,NA,NA,NA
aurea,Hymenaea,Hymenaea aurea,NA,NA,NA
rufa,Formica,Formica rufa,Formicidae,Hymenoptera,Insecta
aquilinum,Pteridum,Pteridum aquilinum,NA,NA,NA
europaea,Talpa,Talpa europaea,Talpinae,Soricomorpha,Mammalia
japonica,Popilla,Popilla japonica,NA,NA,NA
orientalis,Anomala,Anomala orientalis,Scarabaeidae,Coleoptera,Insecta
atricilla,Larus,Larus atricilla,NA,NA,NA
castanea,Maladera,Maladera castanea,Scarabaeidae,Coleoptera,Insecta
majalis,Amphimallon,Amphimallon majalis,Scarabaeidae,Coleoptera,Insecta
nitida,Cotinus,Cotinus nitida,NA,NA,NA
popilliae,Bacillus,Bacillus popilliae,Bacillaceae,Bacillales,NA
stands,Calluna,Calluna stands,NA,NA,NA
fuliginosa,Macropidia,Macropidia fuliginosa,Haemodoraceae,Commelinales,Liliopsida
pulcherrimus,Anigozanthos,Anigozanthos pulcherrimus,Haemodoraceae,Commelinales,Liliopsida
ericoides,Aster,Aster ericoides,Asteraceae,Asterales,Magnoliopsida
ludoviciana,Artemesia,Artemesia ludoviciana,Asteraceae,Asterales,NA
psilostachya,Ambrosia,Ambrosia psilostachya,Asteraceae,Asterales,Magnoliopsida
scoparius,Andropogon,Andropogon scoparius,NA,NA,NA
arkansana,Rosa,Rosa arkansana,Rosaceae,Rosales,NA
orbiculatus,Symphoricarpus,Symphoricarpus orbiculatus,Caprifoliaceae,Dipsacales,NA
cuspidata,Urophora,Urophora cuspidata,Tephritidae,Diptera,Insecta
colon,Terellia,Terellia colon,Tephritidae,Diptera,Insecta
sturnus,Larinus,Larinus sturnus,Curculionidae,Coleoptera,Insecta
metzneriella,Metzneria,Metzneria metzneriella,Gelechiidae,Lepidoptera,Insecta
conura,Tephritis,Tephritis conura,Tephritidae,Diptera,Insecta
leucopsis,Branta,Branta leucopsis,Anatidae,Anseriformes,Aves
dama,Cervus,Cervus dama,NA,NA,NA
lupulina,Medicago,Medicago lupulina,Fabaceae,Fabales,Magnoliopsida
alexandrinus,Charadrius,Charadrius alexandrinus,Charadriidae,Charadriiformes,Aves
aspersa,Columella,Columella aspersa,NA,NA,NA
