Scientific name,Common name,Coverage,URL
"Chenopodium album","fat hen",Full,https://www.cabi.org/isc/datasheet/12648/aqb
"Chenopodium murale","nettleleaf goosefoot",Full,https://www.cabi.org/isc/datasheet/12652/aqb
"Cherax cainii","smooth marron",Full,https://www.cabi.org/isc/datasheet/89136/aqb
"Cherax destructor","yabby",Full,https://www.cabi.org/isc/datasheet/89134/aqb
"Cherax quadricarinatus","redclaw crayfish",Full,https://www.cabi.org/isc/datasheet/89135/aqb
"Chilo partellus","spotted stem borer",Full,https://www.cabi.org/isc/datasheet/12859/aqb
"Chilo suppressalis","striped rice stem borer",Full,https://www.cabi.org/isc/datasheet/12855/aqb
"Chinemys reevesii","Reeve's turtle",Full,https://www.cabi.org/isc/datasheet/88887/aqb
"Chionaspis pinifoliae","pine leaf scale",Full,https://www.cabi.org/isc/datasheet/40120/aqb
"Chlamydia suis",,Full,https://www.cabi.org/isc/datasheet/89282/aqb
"Chlamydia trachomatis",,Full,https://www.cabi.org/isc/datasheet/89294/aqb
"chlamydial infections of livestock and poultry",,Full,https://www.cabi.org/isc/datasheet/89295/aqb
"Chlamydophila abortus",,Full,https://www.cabi.org/isc/datasheet/89292/aqb
"Chlamydophila caviae",,Full,https://www.cabi.org/isc/datasheet/89297/aqb
"Chlamydophila felis",,Full,https://www.cabi.org/isc/datasheet/89281/aqb
"Chlamydophila pecorum",,Full,https://www.cabi.org/isc/datasheet/89298/aqb
"Chlamydophila pneumoniae",,Full,https://www.cabi.org/isc/datasheet/89299/aqb
"Chlamydophila psittaci",,Full,https://www.cabi.org/isc/datasheet/89286/aqb
"Chloris barbata","purpletop chloris",Full,https://www.cabi.org/isc/datasheet/13113/aqb
"Chondrilla juncea","rush skeletonweed",Full,https://www.cabi.org/isc/datasheet/110385/aqb
"Chondrus crispus","carrageen",Full,https://www.cabi.org/isc/datasheet/89386/aqb
"Christella dentata","soft fern",Full,https://www.cabi.org/isc/datasheet/113279/aqb
"Chromolaena odorata","Siam weed",Full,https://www.cabi.org/isc/datasheet/23248/aqb
"Chrysanthemoides monilifera","boneseed",Full,https://www.cabi.org/isc/datasheet/13119/aqb
"Chrysanthemum stem necrosis virus",,Full,https://www.cabi.org/isc/datasheet/13364/aqb
"Chrysemys picta","painted turtle",Full,https://www.cabi.org/isc/datasheet/88367/aqb
"Chrysodeixis chalcites","golden twin-spot moth",Full,https://www.cabi.org/isc/datasheet/13243/aqb
"Chrysomphalus aonidum","circular scale",Full,https://www.cabi.org/isc/datasheet/13379/aqb
"Chrysomphalus dictyospermi","dictyospermum scale",Full,https://www.cabi.org/isc/datasheet/13378/aqb
"Chrysomya bezziana","Old World screw-worm",Full,https://www.cabi.org/isc/datasheet/88417/aqb
"Chrysomya bezziana infestation",,Full,https://www.cabi.org/isc/datasheet/120994/aqb
"Chrysomyxa abietis","needle rust of fir",Full,https://www.cabi.org/isc/datasheet/13247/aqb
"Chrysomyxa himalensis","needle rust of spruce",Full,https://www.cabi.org/isc/datasheet/13253/aqb
"Chrysomyxa rhododendri","European Rhododendron rust",Full,https://www.cabi.org/isc/datasheet/13260/aqb
"Chrysopogon aciculatus","golden false beardgrass",Full,https://www.cabi.org/isc/datasheet/12475/aqb
"Chthamalus proteus",,Full,https://www.cabi.org/isc/datasheet/107766/aqb
"Chytridiomycosis",,Full,https://www.cabi.org/isc/datasheet/109730/aqb
"Ciborinia allii","neck rot of onion",Full,https://www.cabi.org/isc/datasheet/9638/aqb
"Ciborinia camelliae","flower blight",Full,https://www.cabi.org/isc/datasheet/49113/aqb
"Cichla ocellaris","peacock cichlid",Full,https://www.cabi.org/isc/datasheet/88437/aqb
"Cichlasoma urophthalmum","mayan cichlid",Full,https://www.cabi.org/isc/datasheet/88479/aqb
"Cichorium endivia","endives",Full,https://www.cabi.org/isc/datasheet/13408/aqb
"Cinara cupressi sensu lato","Cypress aphid",Full,https://www.cabi.org/isc/datasheet/13579/aqb
"Cinchona pubescens","quinine tree",Full,https://www.cabi.org/isc/datasheet/13484/aqb
"Cinnamomum burmanni","padang cassia",Full,https://www.cabi.org/isc/datasheet/13516/aqb
"Cinnamomum camphora","camphor laurel",Full,https://www.cabi.org/isc/datasheet/13519/aqb
"Cinnamomum verum","cinnamon",Full,https://www.cabi.org/isc/datasheet/13573/aqb
"Ciona intestinalis","sea vase",Full,https://www.cabi.org/isc/datasheet/88555/aqb
"Ciona savignyi",,Full,https://www.cabi.org/isc/datasheet/88554/aqb
"Cirsium arvense","creeping thistle",Full,https://www.cabi.org/isc/datasheet/13628/aqb
"Cirsium mexicanum","Mexican thistle",Full,https://www.cabi.org/isc/datasheet/119800/aqb
"Cirsium vulgare","spear thistle",Full,https://www.cabi.org/isc/datasheet/13631/aqb
"Citharexylum ellipticum","anacahuita",Full,https://www.cabi.org/isc/datasheet/119801/aqb
"Citrus aurantiifolia","lime",Full,https://www.cabi.org/isc/datasheet/13438/aqb
"citrus huanglongbing (greening) disease","citrus greening",Full,https://www.cabi.org/isc/datasheet/16567/aqb
"Citrus leprosis virus C","leprosis of citrus",Full,https://www.cabi.org/isc/datasheet/13449/aqb
"Clarias batrachus","walking catfish",Full,https://www.cabi.org/isc/datasheet/88681/aqb
"Clarias gariepinus",,Full,https://www.cabi.org/isc/datasheet/88683/aqb
"classical swine fever",,Full,https://www.cabi.org/isc/datasheet/88692/aqb
"classical swine fever virus",,Full,https://www.cabi.org/isc/datasheet/79633/aqb
"Clavibacter michiganensis subsp. michiganensis","bacterial canker of tomato",Full,https://www.cabi.org/isc/datasheet/15338/aqb
"Clavibacter michiganensis subsp. sepedonicus","Potato ring rot",Full,https://www.cabi.org/isc/datasheet/15343/aqb
"Claviceps africana","ergot",Full,https://www.cabi.org/isc/datasheet/13787/aqb
"Claviceps fusiformis","pearl millet ergot",Full,https://www.cabi.org/isc/datasheet/13788/aqb
"Claviceps gigantea","horse's tooth",Full,https://www.cabi.org/isc/datasheet/13789/aqb
"Claviceps sorghi","sorghum ergot",Full,https://www.cabi.org/isc/datasheet/13796/aqb
"Claviceps sorghicola",,Full,https://www.cabi.org/isc/datasheet/108966/aqb
"Clea helena","assassin snail",Full,https://www.cabi.org/isc/datasheet/108187/aqb
"Clematis vitalba","old man's beard",Full,https://www.cabi.org/isc/datasheet/14280/aqb
"Cleome rutidosperma","fringed spiderflower",Full,https://www.cabi.org/isc/datasheet/14044/aqb
"Cleome viscosa","Asian spiderflower",Full,https://www.cabi.org/isc/datasheet/14045/aqb
"Clerodendrum bungei","rose glorybower",Full,https://www.cabi.org/isc/datasheet/113370/aqb
"Clerodendrum chinense","Chinese glory bower",Full,https://www.cabi.org/isc/datasheet/113371/aqb
"Clerodendrum indicum","Turk's turban",Full,https://www.cabi.org/isc/datasheet/14330/aqb
"Clerodendrum quadriloculare","bronze-leaved clerodendrum",Full,https://www.cabi.org/isc/datasheet/14334/aqb
"Clerodendrum speciosissimum","Java  glory bower",Full,https://www.cabi.org/isc/datasheet/113372/aqb
"Clerodendrum thomsoniae","bleeding glory bower",Full,https://www.cabi.org/isc/datasheet/14337/aqb
"Clerodendrum wallichii","Wallich's glorybower",Full,https://www.cabi.org/isc/datasheet/120110/aqb
"Clidemia hirta","Koster's curse",Full,https://www.cabi.org/isc/datasheet/13934/aqb
"Clothing, footwear and possessions (pathway vector)",,Full,https://www.cabi.org/isc/datasheet/108160/aqb
"Clupeonella cultriventris","Black Sea kilka",Full,https://www.cabi.org/isc/datasheet/88779/aqb
"Clusia rosea",,Full,https://www.cabi.org/isc/datasheet/16942/aqb
"Coccinella septempunctata","seven-spot ladybird",Full,https://www.cabi.org/isc/datasheet/11733/aqb
"Coccinia grandis","scarlet-fruited ivy gourd",Full,https://www.cabi.org/isc/datasheet/14659/aqb
"Cochliomyia hominivorax","New World screwworm",Full,https://www.cabi.org/isc/datasheet/11753/aqb
"Coconut cadang-cadang viroid","cadang cadang disease",Full,https://www.cabi.org/isc/datasheet/13700/aqb
"Cocos nucifera","coconut",Full,https://www.cabi.org/isc/datasheet/11788/aqb
"Codium fragile subsp. tomentosoides",,Full,https://www.cabi.org/isc/datasheet/107769/aqb
"Colletotrichum acutatum","black spot of strawberry",Full,https://www.cabi.org/isc/datasheet/14889/aqb
"Colocasia esculenta","taro",Full,https://www.cabi.org/isc/datasheet/17221/aqb
"Colubrina asiatica","latherleaf",Full,https://www.cabi.org/isc/datasheet/14960/aqb
"Columba livia","pigeons",Full,https://www.cabi.org/isc/datasheet/87913/aqb
"Combretum grandiflorum","showy combretum",Full,https://www.cabi.org/isc/datasheet/120112/aqb
"Combretum indicum","Rangoon creeper",Full,https://www.cabi.org/isc/datasheet/46654/aqb
"Commelina benghalensis","wandering jew",Full,https://www.cabi.org/isc/datasheet/14977/aqb
"Commelina diffusa","spreading dayflower",Full,https://www.cabi.org/isc/datasheet/14979/aqb
"Conium maculatum","poison hemlock",Full,https://www.cabi.org/isc/datasheet/14820/aqb
"Conopomorpha cramerella","cocoa pod borer",Full,https://www.cabi.org/isc/datasheet/7017/aqb
"Conotrachelus nenuphar","plum curculio",Full,https://www.cabi.org/isc/datasheet/15164/aqb
"contagious agalactia",,Full,https://www.cabi.org/isc/datasheet/88093/aqb
"contagious bovine pleuropneumonia",,Full,https://www.cabi.org/isc/datasheet/88090/aqb
"contagious caprine pleuropneumonia",,Full,https://www.cabi.org/isc/datasheet/88092/aqb
"contagious equine metritis",,Full,https://www.cabi.org/isc/datasheet/88088/aqb
"Convolvulus arvensis","bindweed",Full,https://www.cabi.org/isc/datasheet/15101/aqb
"Conyza bonariensis","hairy fleabane",Full,https://www.cabi.org/isc/datasheet/15250/aqb
"Conyza canadensis","Canadian fleabane",Full,https://www.cabi.org/isc/datasheet/15251/aqb
"Conyza sumatrensis","tall fleabane",Full,https://www.cabi.org/isc/datasheet/15252/aqb
"Copaifera officinalis","copaiba balsam",Full,https://www.cabi.org/isc/datasheet/15674/aqb
"Copsychus malabaricus","White-rumped Shama",Full,https://www.cabi.org/isc/datasheet/88140/aqb
"Coptotermes","termites",Full,https://www.cabi.org/isc/datasheet/15279/aqb
"Coptotermes curvignathus","rubber termite",Full,https://www.cabi.org/isc/datasheet/15282/aqb
"Coptotermes formosanus","Formosan subterranean termite",Full,https://www.cabi.org/isc/datasheet/15284/aqb
"Coptotermes gestroi","Asian subterranean termite",Full,https://www.cabi.org/isc/datasheet/15286/aqb
"Coptotermes sjostedti",,Full,https://www.cabi.org/isc/datasheet/15295/aqb
"Corbicula fluminalis",,Full,https://www.cabi.org/isc/datasheet/109136/aqb
"Corbicula fluminea","Asian clam",Full,https://www.cabi.org/isc/datasheet/88200/aqb
"Corbula amurensis","Amur River clam",Full,https://www.cabi.org/isc/datasheet/107736/aqb
"Cordia alliodora","Ecuador laurel",Full,https://www.cabi.org/isc/datasheet/15353/aqb
"Cordia obliqua","clammy cherry",Full,https://www.cabi.org/isc/datasheet/15395/aqb
"Cordyline fruticosa","ti plant",Full,https://www.cabi.org/isc/datasheet/11866/aqb
"Cordylophora","euryhaline hydroid",Full,https://www.cabi.org/isc/datasheet/108329/aqb
"Coregonus albula","vendace",Full,https://www.cabi.org/isc/datasheet/88207/aqb
"Cornu aspersum","common garden snail",Full,https://www.cabi.org/isc/datasheet/26821/aqb
"Cornus sericea","redosier dogwood",Full,https://www.cabi.org/isc/datasheet/16312/aqb
"Cortaderia jubata","purple pampas grass",Full,https://www.cabi.org/isc/datasheet/113484/aqb
"Cortaderia selloana","pampas grass",Full,https://www.cabi.org/isc/datasheet/11872/aqb
"Corvus splendens","house crow",Full,https://www.cabi.org/isc/datasheet/15463/aqb
"Corymbia citriodora","lemon-scented gum",Full,https://www.cabi.org/isc/datasheet/22602/aqb
"Corymbia grandifolia",,Full,https://www.cabi.org/isc/datasheet/22534/aqb
"Corymbia gummifera",,Full,https://www.cabi.org/isc/datasheet/22361/aqb
"Corymbia intermedia","pink bloodwood (Australia)",Full,https://www.cabi.org/isc/datasheet/22701/aqb
"Corynocarpus laevigatus","karaka",Full,https://www.cabi.org/isc/datasheet/59069/aqb
"Corythucha ciliata","sycamore lace bug",Full,https://www.cabi.org/isc/datasheet/16264/aqb
"Cosmos caudatus","wild cosmos",Full,https://www.cabi.org/isc/datasheet/117946/aqb
"Costus spicatus","spiked spiralflag ginger",Full,https://www.cabi.org/isc/datasheet/119443/aqb
"Cotoneaster horizontalis","wall-spray",Full,https://www.cabi.org/isc/datasheet/16870/aqb
"Cowpea aphid-borne mosaic virus",,Full,https://www.cabi.org/isc/datasheet/15649/aqb
"Coxiella burnetii",,Full,https://www.cabi.org/isc/datasheet/87243/aqb
"Crassocephalum crepidioides","redflower ragleaf",Full,https://www.cabi.org/isc/datasheet/15870/aqb
"Crassostrea gigas","Pacific oyster",Full,https://www.cabi.org/isc/datasheet/87296/aqb
"Crassostrea virginica","eastern oyster",Full,https://www.cabi.org/isc/datasheet/87298/aqb
"Crassula helmsii","Australian swamp stonecrop",Full,https://www.cabi.org/isc/datasheet/16463/aqb
"Crassula ovata","jade plant",Full,https://www.cabi.org/isc/datasheet/113574/aqb
"Crataegus monogyna","hawthorn",Full,https://www.cabi.org/isc/datasheet/16496/aqb
"crayfish plague",,Full,https://www.cabi.org/isc/datasheet/87335/aqb
"Crepidula fornicata","American slipper limpet",Full,https://www.cabi.org/isc/datasheet/108234/aqb
"Crimean-Congo hemorrhagic fever",,Full,https://www.cabi.org/isc/datasheet/87383/aqb
"Crimean-Congo hemorrhagic fever virus",,Full,https://www.cabi.org/isc/datasheet/87385/aqb
"Crocidosema plebejana","cotton tipworm",Full,https://www.cabi.org/isc/datasheet/16130/aqb
"Cromileptes altivelis","humpback grouper",Full,https://www.cabi.org/isc/datasheet/87544/aqb
"Cronartium flaccidum","Scots pine blister rust",Full,https://www.cabi.org/isc/datasheet/16148/aqb
"Cronartium kamtschaticum","Japanese white pine rust",Full,https://www.cabi.org/isc/datasheet/39672/aqb
"Cronartium ribicola","white pine blister rust",Full,https://www.cabi.org/isc/datasheet/16154/aqb
"Crop production (pathway cause)",,Full,https://www.cabi.org/isc/datasheet/108067/aqb
"Crotalaria retusa","rattleweed",Full,https://www.cabi.org/isc/datasheet/87408/aqb
"Crumenulopsis sororia",,Full,https://www.cabi.org/isc/datasheet/16278/aqb
"Crupina vulgaris","bearded creeper",Full,https://www.cabi.org/isc/datasheet/13697/aqb
"Cryphonectria parasitica","blight of chestnut",Full,https://www.cabi.org/isc/datasheet/21108/aqb
"Crypsis schoenoides","swamp pricklegrass",Full,https://www.cabi.org/isc/datasheet/113637/aqb
"Crypsis vaginiflora","African pricklegrass",Full,https://www.cabi.org/isc/datasheet/120573/aqb
"Cryptostegia grandiflora","rubber vine",Full,https://www.cabi.org/isc/datasheet/16378/aqb
"Cryptostegia madagascariensis","Madagascar rubbervine",Full,https://www.cabi.org/isc/datasheet/113682/aqb
"Cryptotermes brevis","powderpost termite",Full,https://www.cabi.org/isc/datasheet/16441/aqb
"Ctenarytaina eucalypti","blue gum psyllid",Full,https://www.cabi.org/isc/datasheet/16747/aqb
"Ctenarytaina spatulata",,Full,https://www.cabi.org/isc/datasheet/16823/aqb
"Ctenopharyngodon idella","grass carp",Full,https://www.cabi.org/isc/datasheet/16772/aqb
"Ctenosaura similis","black spiny-tailed iguana",Full,https://www.cabi.org/isc/datasheet/86558/aqb
"Cucurbit yellow stunting disorder virus",,Full,https://www.cabi.org/isc/datasheet/17070/aqb
"Culex quinquefasciatus","southern house mosquito",Full,https://www.cabi.org/isc/datasheet/86848/aqb
"Culicidae",,Full,https://www.cabi.org/isc/datasheet/106720/aqb
"Culicoides",,Full,https://www.cabi.org/isc/datasheet/102603/aqb
"Cupaniopsis anacardioides","carrotwood",Full,https://www.cabi.org/isc/datasheet/16989/aqb
"Cuphea carthagenensis","Colombian waxweed",Full,https://www.cabi.org/isc/datasheet/113690/aqb
"Cupressus sempervirens","Mediterranean cypress",Full,https://www.cabi.org/isc/datasheet/17105/aqb
"Cuscuta campestris","field dodder",Full,https://www.cabi.org/isc/datasheet/17111/aqb
"Cuscuta epithymum","alfalfa dodder",Full,https://www.cabi.org/isc/datasheet/17114/aqb
"Cuscuta europaea","European dodder",Full,https://www.cabi.org/isc/datasheet/17113/aqb
"Cuscuta japonica","Japanese dodder",Full,https://www.cabi.org/isc/datasheet/17116/aqb
"Cuscuta reflexa","dodder",Full,https://www.cabi.org/isc/datasheet/17120/aqb
"Cyanthillium cinereum","little ironweed",Full,https://www.cabi.org/isc/datasheet/113702/aqb
"Cyathea cooperi","australian tree fern",Full,https://www.cabi.org/isc/datasheet/17261/aqb
"Cyclosorus parasiticus","parasitic maiden fern",Full,https://www.cabi.org/isc/datasheet/120368/aqb
"Cydalima perspectalis","box tree moth",Full,https://www.cabi.org/isc/datasheet/118433/aqb
"Cygnus olor",,,https://www.cabi.org/isc/datasheet/86123/aqb
"Cylas formicarius","sweet potato weevil",Full,https://www.cabi.org/isc/datasheet/17408/aqb
"Cylindropuntia fulgida","jumping cholla",Full,https://www.cabi.org/isc/datasheet/37715/aqb
"Cylindropuntia rosea","hudson pear",Full,https://www.cabi.org/isc/datasheet/115975/aqb
"Cymbopogon citratus","citronella grass",Full,https://www.cabi.org/isc/datasheet/17377/aqb
"Cymbopogon nardus","citronella grass",Full,https://www.cabi.org/isc/datasheet/120396/aqb
"Cynara cardunculus","cardoon",Full,https://www.cabi.org/isc/datasheet/17584/aqb
"Cynodon dactylon","Bermuda grass",Full,https://www.cabi.org/isc/datasheet/17463/aqb
"Cynodon nlemfuensis","African Bermuda-grass",Full,https://www.cabi.org/isc/datasheet/86155/aqb
"Cynoglossum officinale","hound's tongue",Full,https://www.cabi.org/isc/datasheet/14550/aqb
"Cyperus compressus","annual sedge",Full,https://www.cabi.org/isc/datasheet/17494/aqb
"Cyperus difformis","small-flowered nutsedge",Full,https://www.cabi.org/isc/datasheet/17495/aqb
"Cyperus esculentus","yellow nutsedge",Full,https://www.cabi.org/isc/datasheet/17496/aqb
"Cyperus imbricatus","shingle flatsedge",Full,https://www.cabi.org/isc/datasheet/17500/aqb
"Cyperus iria","rice flatsedge",Full,https://www.cabi.org/isc/datasheet/17501/aqb
"Cyperus meyenianus","Meyen's flatsedge",Full,https://www.cabi.org/isc/datasheet/119060/aqb
"Cyperus papyrus","papyrus",Full,https://www.cabi.org/isc/datasheet/17503/aqb
"Cyperus rotundus","purple nutsedge",Full,https://www.cabi.org/isc/datasheet/17506/aqb
"Cyprinella lutrensis","red shiner",Full,https://www.cabi.org/isc/datasheet/86206/aqb
"Cyprinus carpio","common carp",Full,https://www.cabi.org/isc/datasheet/17522/aqb
"Cyrtomium falcatum","Japanese holly fern",Full,https://www.cabi.org/isc/datasheet/17203/aqb
"Cytisus scoparius","Scotch broom",Full,https://www.cabi.org/isc/datasheet/17610/aqb
"Dactylis glomerata","cocksfoot",Full,https://www.cabi.org/isc/datasheet/17618/aqb
"Dactyloctenium aegyptium","crowfoot grass",Full,https://www.cabi.org/isc/datasheet/19321/aqb
"Dacus ciliatus","lesser pumpkin fly",Full,https://www.cabi.org/isc/datasheet/17682/aqb
"Dalbergia melanoxylon","African blackwood",Full,https://www.cabi.org/isc/datasheet/17783/aqb
"Dalbergia sissoo",,Full,https://www.cabi.org/isc/datasheet/17808/aqb
"Danthonia decumbens","heath grass",Full,https://www.cabi.org/isc/datasheet/113791/aqb
"Daphnia","water flea",Full,https://www.cabi.org/isc/datasheet/102727/aqb
"Daphnia longispina",,Full,https://www.cabi.org/isc/datasheet/86427/aqb
"Daphnia lumholtzi",,Full,https://www.cabi.org/isc/datasheet/107777/aqb
"Daraba laisalis",,Full,https://www.cabi.org/isc/datasheet/17924/aqb
"Darna trima","nettle caterpillar",Full,https://www.cabi.org/isc/datasheet/17934/aqb
"Datura ferox","fierce thornapple",Full,https://www.cabi.org/isc/datasheet/85429/aqb
"Datura innoxia","downy thorn apple",Full,https://www.cabi.org/isc/datasheet/18004/aqb
"Datura metel","Hindu datura",Full,https://www.cabi.org/isc/datasheet/18005/aqb
"Datura stramonium","jimsonweed",Full,https://www.cabi.org/isc/datasheet/18006/aqb
"Daucus carota","carrot",Full,https://www.cabi.org/isc/datasheet/18018/aqb
"Delairea odorata","Cape ivy",Full,https://www.cabi.org/isc/datasheet/18265/aqb
"Delonix regia","flamboyant",Full,https://www.cabi.org/isc/datasheet/18521/aqb
"Dendrocalamus strictus","male bamboo",Full,https://www.cabi.org/isc/datasheet/18329/aqb
"Dendroctonus micans","great spruce bark beetle",Full,https://www.cabi.org/isc/datasheet/18352/aqb
"Dendroctonus ponderosae","black hills beetle",Full,https://www.cabi.org/isc/datasheet/18354/aqb
"Dendroctonus pseudotsugae","Douglas-fir beetle",Full,https://www.cabi.org/isc/datasheet/18355/aqb
"Dendroctonus rufipennis","spruce beetle",Full,https://www.cabi.org/isc/datasheet/18357/aqb
"Dendroctonus valens","red turpentine beetle",Full,https://www.cabi.org/isc/datasheet/18360/aqb
"Dendrolimus superans sibiricus","Siberian silk moth",Full,https://www.cabi.org/isc/datasheet/18371/aqb
"Deparia petersenii subsp. petersenii","Petersen’s lady fern",Full,https://www.cabi.org/isc/datasheet/113835/aqb
"Dermanyssus gallinae",,Full,https://www.cabi.org/isc/datasheet/85725/aqb
"dermatophilosis",,Full,https://www.cabi.org/isc/datasheet/85716/aqb
"Dermatophilus congolensis",,Full,https://www.cabi.org/isc/datasheet/85677/aqb
"Deroceras invadens","tramp slug",Full,https://www.cabi.org/isc/datasheet/121099/aqb
"Deroceras laeve","meadow slug",Full,https://www.cabi.org/isc/datasheet/85751/aqb
"Deroceras reticulatum","grey field slug",Full,https://www.cabi.org/isc/datasheet/85752/aqb
"Descurainia sophia","flixweed",Full,https://www.cabi.org/isc/datasheet/110230/aqb
"Desmodium incanum","creeping beggerweed",Full,https://www.cabi.org/isc/datasheet/109200/aqb
"Desmostachya bipinnata","halfa grass",Full,https://www.cabi.org/isc/datasheet/18479/aqb
"Diabrotica virgifera virgifera","western corn rootworm",Full,https://www.cabi.org/isc/datasheet/18637/aqb
"Dialeurodes citri","citrus whitefly",Full,https://www.cabi.org/isc/datasheet/18698/aqb
"Diaphorina citri","Asian citrus psyllid",Full,https://www.cabi.org/isc/datasheet/18615/aqb
"Diaporthe helianthi","stem canker of sunflower",Full,https://www.cabi.org/isc/datasheet/18733/aqb
"Diaspidiotus perniciosus","San José scale",Full,https://www.cabi.org/isc/datasheet/46224/aqb
"Dichanthium annulatum","Kleberg's bluestem",Full,https://www.cabi.org/isc/datasheet/113873/aqb
"Dichrostachys cinerea","sickle bush",Full,https://www.cabi.org/isc/datasheet/18119/aqb
"Dickeya solani","black leg disease of potato",Full,https://www.cabi.org/isc/datasheet/120278/aqb
"Dicrurus macrocercus",,Full,https://www.cabi.org/isc/datasheet/85888/aqb
"Didelphis marsupialis","common opossum",Full,https://www.cabi.org/isc/datasheet/84946/aqb
"Didemnum vexillum",,Full,https://www.cabi.org/isc/datasheet/107996/aqb
"Didymascella thujina","cedar leaf blight",Full,https://www.cabi.org/isc/datasheet/18896/aqb
"Didymella fabae","leaf and pod spot",Full,https://www.cabi.org/isc/datasheet/7304/aqb
"Didymosphenia geminata","didymo",Full,https://www.cabi.org/isc/datasheet/107737/aqb
"Digestion and excretion (pathway cause)",,Full,https://www.cabi.org/isc/datasheet/108161/aqb
"Digitaria abyssinica","East African couchgrass",Full,https://www.cabi.org/isc/datasheet/18917/aqb
"Digitaria ciliaris","southern crabgrass",Full,https://www.cabi.org/isc/datasheet/18912/aqb
"Digitaria insularis","sourgrass",Full,https://www.cabi.org/isc/datasheet/109596/aqb
"Digitaria longiflora","false couch grass",Full,https://www.cabi.org/isc/datasheet/18915/aqb
"Digitaria sanguinalis","large crabgrass",Full,https://www.cabi.org/isc/datasheet/18916/aqb
"Digitaria velutina","velvet fingergrass",Full,https://www.cabi.org/isc/datasheet/18919/aqb
"Dikerogammarus villosus","killer shrimp",Full,https://www.cabi.org/isc/datasheet/108309/aqb
"Dinoderus minutus","bamboo borer",Full,https://www.cabi.org/isc/datasheet/19035/aqb
"Diodia teres","poorjoe",Full,https://www.cabi.org/isc/datasheet/19056/aqb
"Dioscorea alata","white yam",Full,https://www.cabi.org/isc/datasheet/19293/aqb
"Dioscorea bulbifera","air potato",Full,https://www.cabi.org/isc/datasheet/19295/aqb
"Diplosoma listerianum",,Full,https://www.cabi.org/isc/datasheet/109099/aqb
"Diprion similis","white pine sawfly",Full,https://www.cabi.org/isc/datasheet/19195/aqb
"Dipsacus fullonum","common teasel",Full,https://www.cabi.org/isc/datasheet/119605/aqb
"Discula destructiva","anthracnose of dogwood",Full,https://www.cabi.org/isc/datasheet/20079/aqb
"Discus rotundatus","rotund disc",Full,https://www.cabi.org/isc/datasheet/113930/aqb
"Ditylenchus africanus","peanut pod nematode",Full,https://www.cabi.org/isc/datasheet/19284/aqb
"Ditylenchus angustus","rice stem nematode",Full,https://www.cabi.org/isc/datasheet/19285/aqb
"Ditylenchus destructor","potato tuber nematode",Full,https://www.cabi.org/isc/datasheet/19286/aqb
"Ditylenchus dipsaci","stem and bulb nematode",Full,https://www.cabi.org/isc/datasheet/19287/aqb
"Diuraphis noxia","Russian wheat aphid",Full,https://www.cabi.org/isc/datasheet/9887/aqb
"dourine",,Full,https://www.cabi.org/isc/datasheet/85283/aqb
"Dreissena polymorpha","zebra mussel",Full,https://www.cabi.org/isc/datasheet/85295/aqb
"Dreissena rostriformis bugensis","quagga mussel",Full,https://www.cabi.org/isc/datasheet/107770/aqb
"Dreyfusia nordmannianae","silver fir adelges",Full,https://www.cabi.org/isc/datasheet/19860/aqb
"Drosophila suzukii","spotted wing drosophila",Full,https://www.cabi.org/isc/datasheet/109283/aqb
"Drymaria cordata","tropical chickweed",Full,https://www.cabi.org/isc/datasheet/20020/aqb
"Dryocoetes confusus","western balsam bark beetle",Full,https://www.cabi.org/isc/datasheet/20024/aqb
"Dryocosmus kuriphilus","Oriental chestnut gall wasp",Full,https://www.cabi.org/isc/datasheet/20005/aqb
"duck hepatitis A virus",,Full,https://www.cabi.org/isc/datasheet/84185/aqb
"duck virus hepatitis",,Full,https://www.cabi.org/isc/datasheet/84184/aqb
"Duponchelia fovealis","Southern European marshland pyralid",Full,https://www.cabi.org/isc/datasheet/20168/aqb
"Dysmicoccus brevipes","pineapple mealybug",Full,https://www.cabi.org/isc/datasheet/20248/aqb
"Dysmicoccus neobrevipes","grey pineapple mealybug",Full,https://www.cabi.org/isc/datasheet/20251/aqb
"Dysphania ambrosioides","Mexican tea",Full,https://www.cabi.org/isc/datasheet/113977/aqb
"East Asian Passiflora virus",,Full,https://www.cabi.org/isc/datasheet/119879/aqb
"eastern equine encephalitis virus",,Full,https://www.cabi.org/isc/datasheet/84274/aqb
"Echinochloa colona","junglerice",Full,https://www.cabi.org/isc/datasheet/20368/aqb
"Echinochloa crus-galli","barnyard grass",Full,https://www.cabi.org/isc/datasheet/20367/aqb
"Echinochloa pyramidalis",,Full,https://www.cabi.org/isc/datasheet/113990/aqb
"Echium plantagineum","Paterson's curse",Full,https://www.cabi.org/isc/datasheet/20400/aqb
"Eclipta prostrata","eclipta",Full,https://www.cabi.org/isc/datasheet/20395/aqb
"Edwardsiella ictaluri",,Full,https://www.cabi.org/isc/datasheet/84397/aqb
"Edwardsiella septicaemia (Edwardsiella tarda infection)",,Full,https://www.cabi.org/isc/datasheet/84398/aqb
"Edwardsiella tarda",,Full,https://www.cabi.org/isc/datasheet/84399/aqb
"Egeria densa","leafy elodea",Full,https://www.cabi.org/isc/datasheet/20491/aqb
"Eggplant mottled dwarf virus","tomato vein yellowing virus",Full,https://www.cabi.org/isc/datasheet/20496/aqb
